TxFinish,Amount,Type,Service,Category
2023-10-09 18:20:49,15000,Deposit,Lycamobile,Airtime
2023-10-09 18:22:53,9500,Withdraw,MTN Mobile Money,Mobile Money
2023-10-09 18:25:45,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-09 18:26:36,32500,Deposit,Airtel Money,Mobile Money
2023-10-09 18:27:51,24600,Deposit,URA,Taxes
2023-10-09 18:28:49,400,Deposit,MTN Uganda,Airtime
2023-10-09 18:30:40,30000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-09 18:31:32,1000,Deposit,Airtel Internet,Internet
2023-10-09 18:32:33,1000,Deposit,Airtel Internet,Internet
2023-10-09 18:33:45,2000,Deposit,MTN Mobile Internet,Internet
2023-10-09 18:36:35,1500,Deposit,Airtel Money,Mobile Money
2023-10-09 18:38:32,8000,Deposit,MTN Mobile Money,Mobile Money
2023-10-09 18:49:16,14000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-09 18:51:56,12000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-09 18:52:38,1000,Deposit,MTN Uganda,Airtime
2023-10-09 18:54:30,5500,Deposit,MTN Mobile Money,Mobile Money
2023-10-09 19:03:22,500,Deposit,Airtel Internet,Internet
2023-10-09 19:04:47,500,Deposit,MTN Uganda,Airtime
2023-10-09 19:10:22,80000,Withdraw,Airtel Money,Mobile Money
2023-10-09 19:11:33,1000,Deposit,Airtel Internet,Internet
2023-10-09 19:12:52,100000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-09 19:14:42,500,Deposit,Airtel Uganda,Airtime
2023-10-09 19:15:46,500,Deposit,Airtel Uganda,Airtime
2023-10-09 19:16:44,10000,Withdraw,Airtel Money,Mobile Money
2023-10-09 19:17:36,2000,Deposit,MTN Uganda,Airtime
2023-10-09 19:18:09,1000,Deposit,MTN Mobile Money,Mobile Money
2023-10-09 19:19:25,60000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-09 19:20:24,161000,Deposit,Airtel Money,Mobile Money
2023-10-09 19:21:25,1500,Deposit,Lycamobile,Airtime
2023-10-09 19:21:49,1500,Deposit,Lycamobile,Airtime
2023-10-09 19:22:49,100000,Deposit,MTN Mobile Money,Mobile Money
2023-10-09 19:23:38,100000,Deposit,MTN Mobile Money,Mobile Money
2023-10-09 19:31:08,30000,Deposit,MTN Mobile Money,Mobile Money
2023-10-09 19:34:47,11000,Deposit,Airtel Money,Mobile Money
2023-10-09 19:39:06,7000,Withdraw,Airtel Money,Mobile Money
2023-10-09 19:39:57,1000,Deposit,MTN Mobile Internet,Internet
2023-10-09 19:40:51,1000,Deposit,Airtel Internet,Internet
2023-10-09 19:42:23,2000,Deposit,UMEME Yaka,Utilities
2023-10-09 19:43:27,500,Deposit,Airtel Uganda,Airtime
2023-10-09 19:44:11,1000,Deposit,Airtel Uganda,Airtime
2023-10-09 19:45:38,50000,Deposit,MTN Mobile Money,Mobile Money
2023-10-09 19:46:40,2000,Deposit,Airtel Internet,Internet
2023-10-09 19:50:29,1000,Deposit,Airtel Uganda,Airtime
2023-10-09 19:52:33,15000,Deposit,MTN Mobile Money,Mobile Money
2023-10-09 19:55:54,14400,Deposit,StarTimes TV,TV
2023-10-09 19:57:54,50000,Withdraw,Airtel Money,Mobile Money
2023-10-09 20:00:18,10000,Withdraw,Airtel Money,Mobile Money
2023-10-09 20:01:12,26000,Deposit,Airtel Money,Mobile Money
2023-10-09 20:01:59,55000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-09 20:02:53,11000,Deposit,Airtel Money,Mobile Money
2023-10-09 20:04:25,15000,Deposit,Lycamobile,Airtime
2023-10-09 20:06:41,15000,Deposit,Lycamobile,Airtime
2023-10-09 20:08:08,10000,Deposit,UMEME Yaka,Utilities
2023-10-09 20:09:18,40000,Deposit,Airtel Money,Mobile Money
2023-10-09 20:10:17,1000,Deposit,Airtel Uganda,Airtime
2023-10-09 20:11:01,1500,Deposit,MTN Uganda,Airtime
2023-10-09 20:12:19,1000,Deposit,MTN Mobile Internet,Internet
2023-10-09 20:26:27,1000,Deposit,Airtel Uganda,Airtime
2023-10-09 20:30:47,5000,Withdraw,Airtel Money,Mobile Money
2023-10-09 20:34:24,16000,Withdraw,Airtel Money,Mobile Money
2023-10-09 20:35:28,1000,Deposit,UMEME Yaka,Utilities
2023-10-09 20:37:05,101000,Deposit,Airtel Money,Mobile Money
2023-10-09 20:38:41,1000,Deposit,Airtel Internet,Internet
2023-10-09 20:39:52,35000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-09 20:41:04,1000,Deposit,Airtel Internet,Internet
2023-10-09 20:42:24,11000,Deposit,MTN Mobile Money,Mobile Money
2023-10-09 20:43:14,5500,Deposit,Airtel Money,Mobile Money
2023-10-09 20:44:07,11000,Deposit,Airtel Money,Mobile Money
2023-10-09 20:44:47,1000,Deposit,MTN Mobile Internet,Internet
2023-10-09 20:46:19,4300,Deposit,StarTimes TV,TV
2023-10-09 20:47:24,10000,Deposit,UMEME Yaka,Utilities
2023-10-09 20:48:48,20000,Deposit,Airtel Money,Mobile Money
2023-10-09 20:51:17,10000,Deposit,Airtel Money,Mobile Money
2023-10-09 20:52:17,20000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-09 20:53:02,1000,Deposit,MTN Mobile Internet,Internet
2023-10-09 20:53:34,500,Deposit,MTN Uganda,Airtime
2023-10-09 20:54:09,500,Deposit,Airtel Internet,Internet
2023-10-09 20:54:59,20000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-09 20:56:09,5000,Deposit,UMEME Yaka,Utilities
2023-10-09 20:57:29,21000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-09 20:59:02,2000,Deposit,MTN Mobile Money,Mobile Money
2023-10-09 21:09:24,31000,Deposit,StarTimes TV,TV
2023-10-09 21:13:47,10000,Deposit,UMEME Yaka,Utilities
2023-10-09 21:14:58,3000,Deposit,UMEME Yaka,Utilities
2023-10-09 21:19:06,9000,Withdraw,Airtel Money,Mobile Money
2023-10-09 21:20:44,64000,Deposit,MTN Mobile Money,Mobile Money
2023-10-09 21:25:46,80650,Deposit,Tugende,Loans
2023-10-09 21:27:06,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-09 21:29:40,2000,Deposit,Airtel Internet,Internet
2023-10-09 21:32:13,85000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-09 21:32:50,5000,Deposit,Airtel Uganda,Airtime
2023-10-09 22:12:29,366000,Withdraw,Airtel Money,Mobile Money
2023-10-09 22:13:25,47000,Withdraw,Airtel Money,Mobile Money
2023-10-09 22:16:03,2000,Deposit,Airtel Internet,Internet
2023-10-09 22:17:49,1500,Deposit,Lycamobile,Airtime
2023-10-10 07:34:54,1000,Deposit,MTN Mobile Internet,Internet
2023-10-10 07:36:36,5000,Deposit,UMEME Yaka,Utilities
2023-10-10 07:50:43,30000,Withdraw,Airtel Money,Mobile Money
2023-10-10 07:52:01,2000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 07:52:46,2000,Deposit,Airtel Internet,Internet
2023-10-10 07:54:09,2000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 07:54:57,205000,Deposit,Airtel Money,Mobile Money
2023-10-10 07:59:03,1000,Deposit,Airtel Uganda,Airtime
2023-10-10 08:10:15,2500000,Withdraw,Airtel Money,Mobile Money
2023-10-10 08:11:32,253950,Deposit,URA,Taxes
2023-10-10 08:12:33,253950,Deposit,URA,Taxes
2023-10-10 08:13:52,253950,Deposit,URA,Taxes
2023-10-10 08:15:26,253950,Deposit,URA,Taxes
2023-10-10 08:16:03,1000,Deposit,MTN Mobile Internet,Internet
2023-10-10 08:16:35,11000,Deposit,Airtel Money,Mobile Money
2023-10-10 08:17:44,253950,Deposit,URA,Taxes
2023-10-10 08:18:45,2000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 08:21:26,1000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 08:22:51,1000000,Deposit,Airtel Money,Mobile Money
2023-10-10 08:24:38,25000,Deposit,Airtel Money,Mobile Money
2023-10-10 08:25:40,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 08:27:11,2000,Deposit,Airtel Internet,Internet
2023-10-10 08:27:50,1000,Deposit,Airtel Internet,Internet
2023-10-10 08:30:42,1000,Deposit,Airtel Internet,Internet
2023-10-10 08:32:15,1000,Deposit,Airtel Uganda,Airtime
2023-10-10 08:33:43,65000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 08:35:46,11000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 08:36:42,1000,Deposit,Airtel Internet,Internet
2023-10-10 08:38:04,140000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 08:41:57,52000,Deposit,Airtel Money,Mobile Money
2023-10-10 08:57:00,1190,Deposit,URA,Taxes
2023-10-10 09:00:06,1000,Deposit,MTN Mobile Internet,Internet
2023-10-10 09:02:03,253950,Deposit,URA,Taxes
2023-10-10 09:10:40,103300,Deposit,National Water,Utilities
2023-10-10 09:12:18,13000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 09:14:08,30000,Deposit,Lycamobile,Airtime
2023-10-10 09:20:08,2000,Deposit,MTN Mobile Internet,Internet
2023-10-10 09:29:53,125000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 09:30:53,70000,Deposit,Airtel Money,Mobile Money
2023-10-10 09:33:26,120000,Withdraw,Airtel Money,Mobile Money
2023-10-10 09:34:33,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 09:35:02,5000,Deposit,Airtel Money,Mobile Money
2023-10-10 09:36:13,60000,Deposit,Airtel Money,Mobile Money
2023-10-10 09:38:09,15000,Deposit,Lycamobile,Airtime
2023-10-10 09:39:22,10000,Deposit,Airtel Money,Mobile Money
2023-10-10 09:53:22,4300,Deposit,StarTimes TV,TV
2023-10-10 09:57:28,3000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 10:00:16,1000,Deposit,UMEME Yaka,Utilities
2023-10-10 10:04:24,1000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 10:22:52,2000,Deposit,MTN Uganda,Airtime
2023-10-10 10:24:16,80000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 10:26:34,25000,Withdraw,Airtel Money,Mobile Money
2023-10-10 10:27:13,1000,Deposit,Airtel Money,Mobile Money
2023-10-10 10:28:21,1000,Deposit,Airtel Internet,Internet
2023-10-10 10:29:01,1000,Deposit,Airtel Internet,Internet
2023-10-10 10:29:42,1000,Deposit,Airtel Internet,Internet
2023-10-10 10:30:29,1000,Deposit,Airtel Internet,Internet
2023-10-10 10:41:15,1000,Deposit,Airtel Uganda,Airtime
2023-10-10 10:42:02,3000,Deposit,UMEME Yaka,Utilities
2023-10-10 10:49:18,2000,Deposit,MTN Mobile Internet,Internet
2023-10-10 10:50:27,63000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 10:51:30,1000,Deposit,Airtel Internet,Internet
2023-10-10 10:55:03,2000,Deposit,Airtel Money,Mobile Money
2023-10-10 10:58:15,1000,Deposit,Airtel Internet,Internet
2023-10-10 11:04:28,1000,Deposit,Airtel Internet,Internet
2023-10-10 11:05:06,9000,Withdraw,Airtel Money,Mobile Money
2023-10-10 11:06:56,78650,Deposit,Tugende,Loans
2023-10-10 11:22:16,1000,Deposit,Airtel Internet,Internet
2023-10-10 11:25:03,10000,Deposit,UMEME Yaka,Utilities
2023-10-10 11:28:56,87500,Deposit,URA,Taxes
2023-10-10 11:30:32,55000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 11:36:05,4500,Deposit,Airtel Money,Mobile Money
2023-10-10 11:48:55,1000,Deposit,MTN Mobile Internet,Internet
2023-10-10 11:50:15,1000,Deposit,Airtel Uganda,Airtime
2023-10-10 11:51:27,1500,Deposit,Lycamobile,Airtime
2023-10-10 11:56:31,1000,Deposit,Airtel Internet,Internet
2023-10-10 11:57:48,1000,Deposit,Airtel Internet,Internet
2023-10-10 12:05:54,500,Deposit,MTN Mobile Internet,Internet
2023-10-10 12:07:20,174000,Deposit,Airtel Money,Mobile Money
2023-10-10 12:08:32,5000,Deposit,UMEME Yaka,Utilities
2023-10-10 12:15:26,2000,Deposit,Airtel Uganda,Airtime
2023-10-10 12:24:49,1000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 12:25:51,1500,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 12:26:45,1000,Deposit,Airtel Uganda,Airtime
2023-10-10 12:54:42,140000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 12:56:18,24600,Deposit,URA,Taxes
2023-10-10 12:57:02,400,Deposit,MTN Uganda,Airtime
2023-10-10 12:58:55,15000,Deposit,UMEME Yaka,Utilities
2023-10-10 13:03:21,1000,Deposit,Airtel Internet,Internet
2023-10-10 13:15:23,10000,Deposit,Airtel Money,Mobile Money
2023-10-10 13:19:56,5000,Deposit,Airtel Money,Mobile Money
2023-10-10 13:20:50,35500,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 13:23:48,13000,Withdraw,Airtel Money,Mobile Money
2023-10-10 13:39:20,369000,Withdraw,Airtel Money,Mobile Money
2023-10-10 13:40:25,230000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 13:43:24,25000,Deposit,Airtel Money,Mobile Money
2023-10-10 13:44:09,2000,Deposit,Airtel Internet,Internet
2023-10-10 13:46:48,30000,Deposit,Airtel Money,Mobile Money
2023-10-10 13:54:10,85950,Deposit,Tugende,Loans
2023-10-10 14:06:42,1000,Deposit,Airtel Uganda,Airtime
2023-10-10 14:08:21,1000,Deposit,Airtel Internet,Internet
2023-10-10 14:09:59,2000,Deposit,MTN Mobile Internet,Internet
2023-10-10 14:23:31,15000,Withdraw,Airtel Money,Mobile Money
2023-10-10 14:25:01,55000,Withdraw,Airtel Money,Mobile Money
2023-10-10 14:26:22,1000,Deposit,MTN Uganda,Airtime
2023-10-10 14:37:02,1000,Deposit,MTN Mobile Internet,Internet
2023-10-10 14:38:46,500,Deposit,MTN Uganda,Airtime
2023-10-10 14:45:11,24600,Deposit,URA,Taxes
2023-10-10 14:46:49,400,Deposit,MTN Uganda,Airtime
2023-10-10 14:50:22,2000,Deposit,Airtel Money,Mobile Money
2023-10-10 14:59:59,2000,Deposit,MTN Uganda,Airtime
2023-10-10 15:03:36,3000,Deposit,Airtel Uganda,Airtime
2023-10-10 15:07:40,1000,Deposit,Airtel Internet,Internet
2023-10-10 15:08:36,1000,Deposit,UMEME Yaka,Utilities
2023-10-10 15:09:36,1190,Deposit,URA,Taxes
2023-10-10 15:13:30,1000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 15:15:20,2000,Deposit,MTN Uganda,Airtime
2023-10-10 15:17:08,75650,Deposit,Tugende,Loans
2023-10-10 15:18:39,2000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 15:35:28,7000,Deposit,Airtel Money,Mobile Money
2023-10-10 15:36:31,7000,Deposit,Airtel Money,Mobile Money
2023-10-10 15:42:27,15000,Deposit,Lycamobile,Airtime
2023-10-10 15:44:22,1000,Deposit,MTN Mobile Internet,Internet
2023-10-10 15:46:45,11000,Deposit,Airtel Money,Mobile Money
2023-10-10 15:47:54,52000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 15:49:10,4300,Deposit,StarTimes TV,TV
2023-10-10 15:50:17,1000,Deposit,Airtel Internet,Internet
2023-10-10 15:51:12,1000,Deposit,MTN Uganda,Airtime
2023-10-10 15:59:06,1000,Deposit,Airtel Internet,Internet
2023-10-10 16:02:25,1000,Deposit,Airtel Internet,Internet
2023-10-10 16:12:40,2000,Deposit,Airtel Money,Mobile Money
2023-10-10 16:14:41,31000,Deposit,StarTimes TV,TV
2023-10-10 16:19:59,205000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 16:25:00,500,Deposit,MTN Mobile Internet,Internet
2023-10-10 16:42:48,76650,Deposit,Tugende,Loans
2023-10-10 16:44:46,15000,Deposit,Lycamobile,Airtime
2023-10-10 16:45:38,15000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 16:46:18,7000,Deposit,Airtel Money,Mobile Money
2023-10-10 16:51:41,5000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 16:56:17,1000,Deposit,Airtel Internet,Internet
2023-10-10 16:59:55,1000,Deposit,Airtel Internet,Internet
2023-10-10 17:00:58,2000,Deposit,UMEME Yaka,Utilities
2023-10-10 17:05:02,20000,Withdraw,Airtel Money,Mobile Money
2023-10-10 17:06:17,20000,Deposit,UMEME Yaka,Utilities
2023-10-10 17:09:57,2000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 17:13:17,220000,Withdraw,Airtel Money,Mobile Money
2023-10-10 17:15:45,1000,Deposit,MTN Uganda,Airtime
2023-10-10 17:20:46,5000,Deposit,MTN Uganda,Airtime
2023-10-10 17:21:36,1000,Deposit,MTN Uganda,Airtime
2023-10-10 17:24:22,14000,Withdraw,Airtel Money,Mobile Money
2023-10-10 17:24:59,1000,Deposit,MTN Uganda,Airtime
2023-10-10 17:25:43,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 17:27:21,4000,Deposit,UMEME Yaka,Utilities
2023-10-10 17:32:38,86500,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 17:37:12,2000,Deposit,Airtel Internet,Internet
2023-10-10 17:38:24,110000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 17:41:40,1000,Deposit,MTN Mobile Internet,Internet
2023-10-10 17:44:34,4000,Deposit,Airtel Money,Mobile Money
2023-10-10 17:47:06,20000,Withdraw,Airtel Money,Mobile Money
2023-10-10 17:51:23,1000,Deposit,Airtel Money,Mobile Money
2023-10-10 17:56:56,1000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 18:02:30,3000,Deposit,UMEME Yaka,Utilities
2023-10-10 18:05:53,2000,Deposit,Airtel Internet,Internet
2023-10-10 18:06:31,2000,Deposit,MTN Mobile Internet,Internet
2023-10-10 18:09:39,19000,Withdraw,Airtel Money,Mobile Money
2023-10-10 18:11:09,30000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 18:12:41,8000,Withdraw,Airtel Money,Mobile Money
2023-10-10 18:15:11,58600,Deposit,National Water,Utilities
2023-10-10 18:17:58,5000,Deposit,UMEME Yaka,Utilities
2023-10-10 18:18:55,8000,Deposit,Airtel Money,Mobile Money
2023-10-10 18:22:28,58000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 18:24:48,20000,Withdraw,Airtel Money,Mobile Money
2023-10-10 18:26:58,1000,Deposit,Airtel Internet,Internet
2023-10-10 18:31:43,35000,Withdraw,Airtel Money,Mobile Money
2023-10-10 18:33:39,155000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 18:34:23,10000,Deposit,UMEME Yaka,Utilities
2023-10-10 18:35:19,15000,Deposit,Lycamobile,Airtime
2023-10-10 18:36:45,21000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 18:37:58,10000,Deposit,UMEME Yaka,Utilities
2023-10-10 18:39:28,40000,Deposit,UMEME Yaka,Utilities
2023-10-10 18:41:04,22000,Withdraw,Airtel Money,Mobile Money
2023-10-10 18:42:45,31000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 18:46:05,4000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 18:46:50,500,Deposit,Airtel Internet,Internet
2023-10-10 18:47:50,40000,Deposit,Airtel Money,Mobile Money
2023-10-10 18:57:20,1000,Deposit,Airtel Internet,Internet
2023-10-10 18:57:51,15000,Deposit,Lycamobile,Airtime
2023-10-10 18:58:25,1000,Deposit,Airtel Internet,Internet
2023-10-10 18:59:40,25450,Deposit,MOGO,Loans
2023-10-10 19:00:34,3500,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 19:01:12,1000,Deposit,MTN Uganda,Airtime
2023-10-10 19:02:21,10000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 19:06:06,100000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 19:07:02,10000,Withdraw,Airtel Money,Mobile Money
2023-10-10 19:10:51,1500,Deposit,StarTimes TV,TV
2023-10-10 19:12:03,30000,Deposit,UMEME Yaka,Utilities
2023-10-10 19:14:50,1000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 19:19:28,3000,Deposit,UMEME Yaka,Utilities
2023-10-10 19:22:33,1000,Deposit,Airtel Uganda,Airtime
2023-10-10 19:23:43,20000,Withdraw,Airtel Money,Mobile Money
2023-10-10 19:25:25,1000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 19:27:43,350000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 19:29:38,20000,Deposit,Airtel Money,Mobile Money
2023-10-10 19:30:36,30000,Deposit,UMEME Yaka,Utilities
2023-10-10 19:32:16,2000,Deposit,Airtel Internet,Internet
2023-10-10 19:37:21,20000,Deposit,Airtel Money,Mobile Money
2023-10-10 19:37:57,2000,Deposit,Airtel Uganda,Airtime
2023-10-10 19:39:21,1000,Deposit,Airtel Internet,Internet
2023-10-10 19:40:05,5000,Deposit,UMEME Yaka,Utilities
2023-10-10 19:48:22,1000,Deposit,MTN Mobile Internet,Internet
2023-10-10 19:50:05,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 19:51:10,20000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 19:52:21,2000,Deposit,MTN Mobile Internet,Internet
2023-10-10 19:53:11,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 19:53:54,2000,Deposit,MTN Uganda,Airtime
2023-10-10 19:55:56,1500,Deposit,MTN Uganda,Airtime
2023-10-10 19:56:39,1000,Deposit,Airtel Internet,Internet
2023-10-10 19:58:54,2000,Deposit,Airtel Internet,Internet
2023-10-10 20:01:02,20000,Withdraw,Airtel Money,Mobile Money
2023-10-10 20:01:48,1000,Deposit,MTN Mobile Internet,Internet
2023-10-10 20:07:38,500,Deposit,MTN Mobile Internet,Internet
2023-10-10 20:12:15,15000,Deposit,Airtel Uganda,Airtime
2023-10-10 20:13:06,2000,Deposit,Airtel Money,Mobile Money
2023-10-10 20:13:40,1000,Deposit,Airtel Uganda,Airtime
2023-10-10 20:14:26,80000,Withdraw,Airtel Money,Mobile Money
2023-10-10 20:15:43,253950,Deposit,URA,Taxes
2023-10-10 20:18:52,1000,Deposit,Airtel Internet,Internet
2023-10-10 20:20:11,20000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 20:22:16,1500,Deposit,Airtel Money,Mobile Money
2023-10-10 20:26:41,1000,Deposit,Airtel Internet,Internet
2023-10-10 20:30:07,1000,Deposit,Airtel Internet,Internet
2023-10-10 20:31:11,10000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 20:31:47,1000,Deposit,Airtel Uganda,Airtime
2023-10-10 20:33:13,1000,Deposit,Airtel Money,Mobile Money
2023-10-10 20:35:50,12000,Withdraw,Airtel Money,Mobile Money
2023-10-10 20:37:22,15000,Withdraw,Airtel Money,Mobile Money
2023-10-10 20:38:32,17000,Withdraw,Airtel Money,Mobile Money
2023-10-10 20:39:28,1000,Deposit,MTN Mobile Internet,Internet
2023-10-10 20:40:37,4000,Deposit,UMEME Yaka,Utilities
2023-10-10 20:43:46,1500,Deposit,Airtel Money,Mobile Money
2023-10-10 20:44:37,2000,Deposit,Airtel Internet,Internet
2023-10-10 20:46:32,1000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 20:47:19,1000,Deposit,Airtel Internet,Internet
2023-10-10 20:48:41,41500,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 20:49:21,1000,Deposit,Airtel Internet,Internet
2023-10-10 20:50:19,50000,Deposit,Airtel Money,Mobile Money
2023-10-10 20:50:50,500,Deposit,MTN Mobile Internet,Internet
2023-10-10 20:52:24,150900,Deposit,Tugende,Loans
2023-10-10 20:53:27,1000,Deposit,MTN Mobile Internet,Internet
2023-10-10 20:54:07,15000,Deposit,Lycamobile,Airtime
2023-10-10 20:56:46,1000,Deposit,Airtel Money,Mobile Money
2023-10-10 20:57:47,50000,Withdraw,Airtel Money,Mobile Money
2023-10-10 21:00:09,10000,Withdraw,Airtel Money,Mobile Money
2023-10-10 21:03:19,10000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 21:04:03,27000,Withdraw,Airtel Money,Mobile Money
2023-10-10 21:13:13,50000,Withdraw,Airtel Money,Mobile Money
2023-10-10 21:14:10,1000,Deposit,Airtel Internet,Internet
2023-10-10 21:14:47,1000,Deposit,MTN Mobile Internet,Internet
2023-10-10 21:17:20,110000,Deposit,UMEME Yaka,Utilities
2023-10-10 21:18:10,1000,Deposit,Airtel Internet,Internet
2023-10-10 21:18:50,2000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 21:19:30,15000,Deposit,Lycamobile,Airtime
2023-10-10 21:21:59,9000,Withdraw,Airtel Money,Mobile Money
2023-10-10 21:34:06,4000,Deposit,Airtel Uganda,Airtime
2023-10-10 21:35:22,5000,Deposit,Airtel Internet,Internet
2023-10-10 21:36:00,1000,Deposit,Airtel Uganda,Airtime
2023-10-10 21:36:47,1000,Deposit,MTN Uganda,Airtime
2023-10-10 21:38:33,2000,Deposit,MTN Mobile Internet,Internet
2023-10-10 21:40:30,3000,Deposit,Airtel Money,Mobile Money
2023-10-10 21:41:37,2000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 21:42:31,1500,Deposit,Airtel Money,Mobile Money
2023-10-10 21:43:28,588000,Withdraw,Airtel Money,Mobile Money
2023-10-10 21:45:51,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 21:48:16,200000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 21:53:08,15000,Deposit,Lycamobile,Airtime
2023-10-10 21:53:50,3500,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 21:54:34,1000,Deposit,MTN Mobile Internet,Internet
2023-10-10 21:55:36,10000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 21:56:13,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 21:56:55,1000,Deposit,Airtel Uganda,Airtime
2023-10-10 21:57:27,2000,Deposit,Airtel Money,Mobile Money
2023-10-10 21:58:11,8000,Withdraw,Airtel Money,Mobile Money
2023-10-10 22:00:44,10000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 22:04:20,190000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 22:18:41,5000,Deposit,Airtel Money,Mobile Money
2023-10-10 22:46:32,400000,Deposit,MTN Mobile Money,Mobile Money
2023-10-10 22:48:12,50000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-10 23:01:54,10000,Deposit,UMEME Yaka,Utilities
2023-10-11 07:47:59,1000,Deposit,UMEME Yaka,Utilities
2023-10-11 07:48:44,1000,Deposit,Airtel Uganda,Airtime
2023-10-11 07:49:49,135000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-11 07:54:38,14500,Withdraw,Airtel Money,Mobile Money
2023-10-11 07:59:34,830000,Withdraw,Airtel Money,Mobile Money
2023-10-11 08:01:08,253950,Deposit,URA,Taxes
2023-10-11 08:02:26,253950,Deposit,URA,Taxes
2023-10-11 08:03:30,103500,Deposit,URA,Taxes
2023-10-11 08:04:13,1000,Deposit,MTN Mobile Internet,Internet
2023-10-11 08:10:35,3000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-11 08:12:11,10000,Deposit,UMEME Yaka,Utilities
2023-10-11 08:16:23,80000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-11 08:19:35,13000,Deposit,Airtel Money,Mobile Money
2023-10-11 08:21:09,1000,Deposit,MTN Mobile Money,Mobile Money
2023-10-11 08:22:03,1000,Deposit,Airtel Internet,Internet
